epoch;prom_fit;std_dev
1;170.2;107.182
2;191.1;134.675
3;155.4;91.421
4;151.9;89.944
5;143.5;102.148
6;156.3;108.949
7;163.3;92.955
8;162.3;107.411
9;128.2;92.275
10;144.0;83.397
11;164.1;121.419
12;171.7;130.758
13;163.3;116.304
14;138.4;94.760
15;149.2;99.078
16;158.2;121.172
17;137.6;72.272
18;131.3;89.100
19;141.5;93.060
20;164.5;107.435
21;148.9;82.603
22;148.7;82.552
23;173.1;120.519
24;161.5;103.064
25;153.9;119.684
26;169.1;105.331
27;164.2;117.530
28;177.0;131.913
29;149.0;79.335
30;174.3;130.966
31;152.6;136.144
32;168.3;130.509
33;163.4;98.257
34;154.1;91.316
35;142.4;91.380
36;148.5;90.660
37;153.7;101.827
38;162.1;105.043
39;162.7;100.867
40;153.0;85.141
41;146.9;93.069
42;151.8;89.122
43;150.7;110.000
44;130.0;78.956
45;154.8;101.000
46;147.7;102.544
47;153.2;70.091
48;164.4;108.419
49;150.4;101.823
50;147.7;90.356
