gen;prom_fitness;std_dev
0;0.0;0.0
1;20.4;72.55
2;52.89;109.37
3;56.83;112.53
4;54.81;111.12
5;53.46;110.12
6;50.29;107.95
7;51.2;108.64
8;52.16;109.45
9;51.8;109.23
10;48.87;106.74
11;54.12;111.06
12;51.63;109.03
13;50.96;108.54
14;53.66;110.91
15;49.8;107.78
16;51.08;108.79
17;180.51;135.62
18;230.66;110.14
19;224.22;114.92
20;228.02;112.18
21;244.73;96.5
22;243.7;98.42
23;237.19;104.13
24;241.16;100.77
25;258.21;81.14
26;244.59;97.17
27;241.99;100.03
28;241.88;99.62
29;248.82;92.69
30;243.1;98.97
31;249.02;93.81
32;247.5;95.65
33;249.23;92.89
34;254.31;87.28
35;247.24;96.04
36;246.67;95.73
37;263.41;74.68
38;257.38;82.38
39;246.81;96.12
40;255.39;84.62
41;246.6;96.75
42;250.7;92.59
43;244.6;98.73
44;239.5;104.13
45;231.8;111.05
46;229.5;112.38
47;254.2;87.87
48;246.3;96.66
49;267.4;67.61
50;255.7;85.3
51;246.0;96.56
52;257.3;82.65
53;253.5;87.68
54;254.2;87.87
55;267.4;67.61
56;265.8;71.06
57;252.7;90.34
58;277.2;45.91
59;264.1;74.29
60;271.51;60.29
61;263.86;74.51
62;256.4;85.48
63;254.8;87.72
64;275.3;51.15
65;264.14;74.05
66;268.03;67.25
67;266.13;70.87
68;260.17;79.88
69;261.95;77.53
70;258.2;82.86
71;248.9;94.79
72;258.28;82.59
73;264.14;74.05
74;260.2;80.16
75;256.4;85.48
76;258.3;82.88
77;231.6;110.97
78;250.5;92.53
79;252.7;90.34
80;245.1;98.89
81;263.9;74.26
82;246.7;96.79
83;267.1;67.57
84;246.7;96.79
85;258.0;82.81
86;258.0;82.81
87;246.7;96.79
88;261.9;77.26
89;264.0;74.28
90;265.8;71.06
91;250.2;92.44
92;257.8;82.77
93;260.9;77.05
94;251.8;90.09
95;244.6;98.73
96;261.8;77.24
97;242.21;100.86
98;262.95;74.33
99;245.54;96.77
100;251.9;90.12
101;259.74;79.51
102;246.32;95.96
103;256.18;84.83
104;251.78;90.41
105;248.74;94.4
106;255.7;85.6
107;236.58;106.27
108;250.07;92.73
109;244.33;99.0
110;250.03;92.06
111;242.42;100.93
112;250.2;92.44
113;242.6;100.62
114;227.3;113.69
115;237.0;106.02
116;244.77;98.42
117;233.25;108.89
118;240.7;102.47
119;206.1;126.46
120;242.4;100.55
121;244.23;98.97
122;250.0;92.38
123;252.3;90.23
124;246.5;96.72
125;257.9;82.79
126;247.7;94.42
127;251.6;90.04
128;237.2;106.1
129;254.1;87.84
130;252.0;90.15
131;254.2;87.87
132;242.9;100.72
133;259.6;80.03
134;248.0;94.51
135;248.3;94.61
136;254.1;87.84
137;263.6;74.2
138;254.1;87.84
139;212.8;123.95
140;231.8;111.05
141;224.1;116.71
142;239.4;104.48
143;242.9;100.72
144;233.7;109.49
145;250.8;92.61
146;218.2;120.39
147;201.4;129.76
148;231.8;111.05
149;226.0;115.36
150;243.0;100.76
151;245.36;98.62
152;237.3;106.14
153;223.59;116.95
154;231.8;111.05
155;244.9;98.83
156;257.9;82.79
157;235.5;107.84
158;256.4;85.48
159;235.3;107.77
160;233.6;109.45
161;245.1;98.89
162;241.1;102.62
163;240.9;102.55
164;237.5;106.21
165;247.0;96.88
166;245.0;98.86
167;259.9;80.1
168;254.6;87.98
169;256.2;85.43
170;262.1;77.3
171;256.2;85.43
172;263.8;74.24
173;252.5;90.29
174;240.8;102.51
175;269.2;63.96
176;265.7;71.04
177;269.4;64.2
178;275.2;51.15
179;273.55;55.48
180;276.22;45.6
181;269.3;63.98
182;271.59;59.9
183;272.94;56.17
184;266.0;71.09
185;279.14;39.78
186;271.4;60.08
187;271.59;59.9
188;281.03;32.6
189;275.33;50.82
190;273.65;55.49
191;277.4;45.92
192;269.7;64.24
193;275.3;51.15
194;275.3;51.15
195;265.8;71.06
196;259.83;80.36
197;265.57;71.26
198;250.27;92.79
199;255.91;85.65
200;262.0;77.28
201;265.47;71.25
202;265.7;71.04
203;259.63;80.32
204;280.2;32.79
205;280.3;32.78
206;269.3;63.98
207;275.2;51.15
208;273.4;55.83
209;275.3;51.15
210;267.7;67.66
211;277.4;45.92
212;273.2;55.82
213;269.5;64.0
214;279.1;39.91
215;284.7;2.1
216;269.4;63.99
217;273.3;55.83
218;275.1;51.14
219;254.1;87.84
220;281.0;32.71
221;267.2;67.58
222;263.4;74.16
223;255.2;85.17
224;263.5;74.18
225;276.85;45.76
226;252.42;89.95
227;263.2;74.13
228;269.4;63.99
229;265.5;71.01
230;282.2;23.39
231;281.5;23.52
232;279.5;32.84
233;257.3;82.65
234;266.8;67.52
235;255.6;85.27
236;268.1;63.81
237;255.5;85.25
238;247.8;94.45
239;259.7;76.78
240;269.0;63.94
241;271.7;55.68
242;277.5;39.94
243;276.5;45.9
244;270.2;59.95
245;267.5;67.63
246;270.3;59.96
247;277.7;39.94
248;270.5;59.99
249;274.3;51.1
250;277.3;39.94
251;265.6;67.32
252;255.4;85.22
253;264.4;70.81
254;254.5;84.98
255;264.0;70.74
256;265.9;67.37
257;251.5;90.01
258;255.2;85.17
259;256.8;82.52
260;255.8;82.26
261;249.1;92.11
262;264.8;70.89
263;265.4;67.28
264;270.3;59.96
265;260.1;76.87
266;265.0;70.92
267;268.5;63.87
268;264.5;70.83
269;276.2;45.9
270;261.1;77.09
