epoch;prom_fit;std_dev;best
1;101.04166666666667;113.334;420.0
2;113.70833333333333;122.228;565.0
3;116.91666666666667;151.754;695.0
4;136.5;131.029;460.0
5;86.29166666666667;116.540;440.0
6;122.54166666666667;131.520;410.0
7;93.0;130.820;660.0
8;40.375;84.368;460.0
9;87.5;112.203;285.0
10;92.58333333333333;121.741;545.0
11;54.875;94.713;485.0
12;97.66666666666667;135.752;850.0
13;87.625;111.522;470.0
14;148.875;111.840;335.0
15;158.25;160.897;520.0
16;71.54166666666667;111.635;500.0
17;88.33333333333333;119.052;465.0
18;98.83333333333333;157.482;860.0
19;62.458333333333336;91.981;540.0
20;58.208333333333336;92.412;305.0
21;90.70833333333333;124.116;425.0
22;115.45833333333333;142.324;490.0
23;142.58333333333334;144.427;565.0
24;73.5;102.218;440.0
25;35.625;88.165;460.0
26;150.0;138.911;790.0
27;62.166666666666664;102.883;620.0
28;118.75;138.730;285.0
29;188.58333333333334;116.728;315.0
30;142.0;112.059;535.0
31;26.583333333333332;74.406;285.0
32;60.75;102.322;715.0
33;181.95833333333334;129.006;285.0
34;128.70833333333334;165.176;790.0
35;194.29166666666666;118.086;285.0
36;111.5;131.526;330.0
37;186.79166666666666;118.817;285.0
38;97.625;122.641;285.0
39;164.58333333333334;135.512;410.0
40;140.16666666666666;120.628;480.0
41;46.625;96.114;285.0
42;218.5;104.822;285.0
43;41.041666666666664;72.125;365.0
44;5.625;31.843;235.0
45;26.208333333333332;43.118;150.0
46;134.25;127.463;290.0
47;71.125;88.021;410.0
48;11.333333333333334;42.159;355.0
49;80.41666666666667;124.093;285.0
50;98.83333333333333;115.493;565.0
51;24.708333333333332;58.784;415.0
52;31.666666666666668;87.798;415.0
53;118.625;160.746;700.0
54;62.958333333333336;113.112;485.0
55;93.45833333333333;104.892;285.0
56;109.125;108.439;460.0
57;130.29166666666666;102.179;385.0
58;260.1666666666667;118.124;720.0
59;171.91666666666666;142.487;565.0
60;45.208333333333336;96.896;285.0
61;140.70833333333334;121.242;650.0
62;54.083333333333336;71.752;260.0
63;203.375;123.645;285.0
64;40.083333333333336;76.215;185.0
65;183.25;133.635;285.0
66;33.583333333333336;65.984;285.0
67;209.16666666666666;130.122;750.0
68;150.04166666666666;128.902;285.0
69;70.75;108.826;470.0
70;152.75;123.486;285.0
71;95.25;100.689;485.0
72;96.95833333333333;125.695;480.0
73;40.708333333333336;55.929;210.0
74;0.3333333333333333;2.303;20.0
75;12.75;56.135;285.0
76;74.29166666666667;149.582;835.0
77;13.0;56.666;260.0
78;6.708333333333333;32.625;335.0
79;108.625;174.128;810.0
80;182.875;136.661;285.0
81;121.91666666666667;125.781;570.0
82;3.625;10.226;60.0
83;88.58333333333333;99.669;440.0
84;154.75;128.035;660.0
85;139.41666666666666;138.248;480.0
86;118.625;156.258;770.0
87;82.33333333333333;88.466;380.0
88;62.333333333333336;86.881;485.0
89;50.166666666666664;84.459;320.0
90;74.45833333333333;70.875;180.0
91;103.875;174.579;680.0
92;7.125;19.861;210.0
93;0.0;0.000;0.0
94;122.16666666666667;127.343;285.0
95;104.58333333333333;125.336;355.0
96;14.708333333333334;59.656;330.0
97;36.25;45.163;150.0
98;116.70833333333333;128.944;300.0
99;98.58333333333333;116.880;285.0
100;83.33333333333333;101.631;290.0
101;195.70833333333334;176.646;480.0
102;116.375;140.085;285.0
103;102.33333333333333;118.069;305.0
104;16.916666666666668;53.721;290.0
105;167.125;162.843;650.0
106;126.66666666666667;94.649;465.0
107;9.083333333333334;44.248;345.0
108;2.1666666666666665;14.168;120.0
109;93.125;85.172;270.0
110;155.91666666666666;123.611;470.0
111;129.95833333333334;139.727;285.0
112;0.0;0.000;0.0
113;196.33333333333334;110.824;545.0
114;115.25;137.600;285.0
115;25.041666666666668;28.784;120.0
116;0.0;0.000;0.0
117;113.54166666666667;137.672;285.0
118;65.70833333333333;89.462;440.0
119;70.29166666666667;123.451;570.0
120;137.5;176.215;645.0
121;6.791666666666667;17.438;75.0
122;75.58333333333333;77.753;260.0
123;79.41666666666667;119.639;425.0
124;36.708333333333336;95.460;435.0
125;85.41666666666667;144.754;485.0
126;114.20833333333333;99.668;410.0
127;61.125;113.680;285.0
128;32.625;69.177;285.0
129;163.66666666666666;130.150;285.0
130;88.875;107.365;285.0
131;31.833333333333332;70.781;285.0
132;96.83333333333333;127.160;330.0
133;31.75;59.598;235.0
134;269.125;83.286;665.0
135;87.33333333333333;128.799;405.0
136;150.375;92.840;305.0
137;73.625;124.750;285.0
138;154.83333333333334;100.198;345.0
139;158.875;102.375;285.0
140;11.875;56.950;285.0
141;201.875;129.541;285.0
142;109.25;95.284;270.0
143;195.0;131.239;285.0
144;1.75;13.824;130.0
145;160.625;138.182;655.0
146;103.95833333333333;112.960;490.0
147;98.29166666666667;95.705;850.0
148;81.75;98.441;445.0
149;14.25;62.114;285.0
150;134.625;161.872;595.0
151;0.3333333333333333;2.794;30.0
152;5.75;36.553;290.0
153;0.0;0.000;0.0
154;271.5416666666667;72.738;485.0
155;128.08333333333334;124.591;270.0
156;51.375;59.491;355.0
157;149.625;142.322;285.0
