epoch;prom_fit;std_dev;best
1;258.3;82.883;285.0
2;178.6;137.852;285.0
3;190.0;134.350;285.0
4;224.2;116.753;285.0
5;229.9;112.550;285.0
6;228.0;114.000;285.0
7;229.9;112.550;285.0
8;235.6;107.883;285.0
9;237.5;106.213;285.0
10;247.0;96.881;285.0
11;250.8;92.614;285.0
12;235.6;107.883;285.0
13;241.3;102.688;285.0
14;250.8;92.614;285.0
15;260.3;80.184;285.0
16;260.3;80.184;285.0
17;260.3;80.184;285.0
18;267.9;67.684;285.0
19;269.8;64.039;285.0
20;267.9;67.684;285.0
21;266.0;71.091;285.0
22;262.2;77.319;285.0
23;256.5;85.500;285.0
24;254.6;87.976;285.0
25;258.4;82.906;285.0
26;237.5;106.213;285.0
27;239.4;104.483;285.0
28;235.6;107.883;285.0
29;235.6;107.883;285.0
30;235.6;107.883;285.0
31;235.6;107.883;285.0
32;246.9;96.850;285.0
33;252.7;90.345;285.0
34;256.5;85.500;285.0
35;258.4;82.906;285.0
36;267.9;67.684;285.0
37;271.7;60.113;285.0
38;266.0;71.091;285.0
39;262.2;77.319;285.0
40;266.0;71.091;285.0
41;263.9;74.258;285.0
42;254.3;87.898;285.0
43;263.9;74.258;285.0
44;263.9;74.258;285.0
45;256.3;85.451;285.0
46;258.2;82.860;285.0
47;248.6;94.700;285.0
48;250.5;92.527;285.0
49;258.2;82.860;285.0
50;260.2;80.162;285.0
51;262.2;77.319;285.0
52;266.0;71.091;285.0
53;267.9;67.684;285.0
54;264.1;74.295;285.0
55;266.0;71.091;285.0
56;252.7;90.345;285.0
57;254.5;87.950;285.0
58;254.6;87.976;285.0
